Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.10.195-192.168.10.3-18004-38412-17,192.168.10.3,38412,192.168.10.195,18004,17,13/01/2023 11:05:41 ,15,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133333.33333333334,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,66666.66666666667,66666.66666666667,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.10.195-192.168.10.3-990-64503-17,192.168.10.3,64503,192.168.10.195,990,17,13/01/2023 10:13:26 ,18,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111111.11111111111,18.0,0.0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,55555.555555555555,55555.555555555555,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.10.195-192.168.10.3-49198-38412-17,192.168.10.3,38412,192.168.10.195,49198,17,13/01/2023 11:05:38 ,18,1,1,40.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,0.0,4444444.444444444,111111.11111111111,18.0,0.0,18.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,55555.555555555555,55555.555555555555,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,60.0,40.0,40.0,0,0,0,0,0,0,1,40,1,40,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.10.195-192.168.10.3-1812-64507-17,192.168.10.3,64507,192.168.10.195,1812,17,13/01/2023 10:12:40 ,13,1,1,20.0,20.0,20.0,20.0,20.0,0.0,20.0,20.0,20.0,0.0,3076923.076923077,153846.15384615384,13.0,0.0,13.0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,76923.07692307692,76923.07692307692,20.0,20.0,20.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,30.0,20.0,20.0,0,0,0,0,0,0,1,20,1,20,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.116-53-61060-17,192.168.10.116,61060,192.168.10.1,53,17,13/01/2023 10:56:13 ,3033,1,2,40.0,80.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,0.0,39564.78733926805,989.1196834817013,1516.5,2126.270091027948,3020.0,13.0,0,0,0,0,0,3033.0,3033.0,0.0,3033.0,3033.0,0,0,0,0,8,16,329.7065611605671,659.4131223211342,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,53.333333333333336,40.0,40.0,0,0,0,0,0,0,1,40,2,80,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.10.195-192.168.10.3-30697-61784-17,192.168.10.3,61784,192.168.10.195,30697,17,13/01/2023 10:54:42 ,14,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142857.14285714287,14.0,0.0,14.0,14.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,71428.57142857143,71428.57142857143,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.116-53-64899-17,192.168.10.116,64899,192.168.10.1,53,17,13/01/2023 10:47:44 ,1208,1,2,40.0,80.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,0.0,99337.74834437085,2483.443708609271,604.0,837.2144289248723,1196.0,12.0,0,0,0,0,0,1208.0,1208.0,0.0,1208.0,1208.0,0,0,0,0,8,16,827.8145695364237,1655.6291390728475,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,53.333333333333336,40.0,40.0,0,0,0,0,0,0,1,40,2,80,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.10.1-192.168.10.116-53-61300-17,192.168.10.116,61300,192.168.10.1,53,17,13/01/2023 11:01:43 ,1187,1,2,36.0,72.0,36.0,36.0,36.0,0.0,36.0,36.0,36.0,0.0,90985.67818028644,2527.3799494524014,593.5,823.7794000823278,1176.0,11.0,0,0,0,0,0,1187.0,1187.0,0.0,1187.0,1187.0,0,0,0,0,8,16,842.4599831508004,1684.9199663016009,36.0,36.0,36.0,0.0,0.0,0,0,0,0,0,0,0,0,2.0,48.0,36.0,36.0,0,0,0,0,0,0,1,36,2,72,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.10.195-192.168.10.3-36893-61784-17,192.168.10.3,61784,192.168.10.195,36893,17,13/01/2023 10:47:24 ,15,1,1,40.0,40.0,40.0,40.0,40.0,0.0,40.0,40.0,40.0,0.0,5333333.333333333,133333.33333333334,15.0,0.0,15.0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,66666.66666666667,66666.66666666667,40.0,40.0,40.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,60.0,40.0,40.0,0,0,0,0,0,0,1,40,1,40,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.10.195-192.168.10.3-22692-61784-17,192.168.10.3,61784,192.168.10.195,22692,17,13/01/2023 10:46:31 ,17,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117647.05882352941,17.0,0.0,17.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,58823.529411764706,58823.529411764706,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
